Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-367
Date,"September 9, 1996"
Associated Legislation,S. 1791
Committee,Committee on Veterans' Affairs
Calendar,585
Action,Ordered to be printed
Recommendation,"The Committee on Veterans' Affairs, to which was referred the bill (S. 1791) to increase, effective December 1, 1996, the rates of disability compensation for veterans with service- connected disabilities and the rates of dependency and indemnity compensation for survivors of certain service- connected disabled veterans, and for other purposes, having considered the same, reports favorably thereon and recommends that the bill do pass."
