Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-372
Date,"September 26, 1996"
Associated Legislation,S. 1359
Committee,Committee on Veterans' Affairs
Calendar,635
Action,Ordered to be printed
Recommendation,"The Committee on Veterans' Affairs, to which was referred the bill (S. 1359) to revise certain authorities relating to management and contracting in the provision of health care services and for other purposes, having considered the same, reports favorably thereon with an amendment in the form of a substitute and an amendment to the title, and recommends that the bill as amended do pass."
