Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-364
Date,"September 9, 1996"
Associated Legislation,S. 1897
Committee,Committee on Labor and Human Resources
Calendar,583
Action,Ordered to be printed
Recommendation,"The Committee on Labor and Human Resources, to which was referred the bill (S. 1897) to amend the Public Health Service Act to revise and extend certain programs relating to the National Institutes of Health, and for other purposes, having considered the same, reports favorably thereon with amendments and recommends that the bill (as amended) do pass."
