Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-346
Date,"July 31, 1996"
Associated Legislation,S. 1869
Committee,Committee on Indian Affairs
Calendar,555
Action,Ordered to be printed
Recommendation,"The Committee on Indian Affairs, to which was referred the bill (S. 1869) the Indian Health Care Improvement Technical Corrections Act of 1996, having considered the same, reports favorably thereon without amendment and recommends that the bill do pass."
