Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-394
Date,"October 1, 1996"
Associated Legislation,S. 1277
Committee,Committee on Judiciary
Calendar,640
Action,Ordered to be printed
Recommendation,"The Committee on the Judiciary, to which was referred the bill (S. 1277) to amend title 35, United States Code, with respect to patents on pharmaceutical products, having considered the same, reports favorably thereon with an amendment in the nature of a substitute and recommends that the bill as amended do pass."
