Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-368
Date,"September 12, 1996"
Associated Legislation,H.R. 3755
Committee,Committee on Appropriations
Calendar,589
Action,Ordered to be printed
Recommendation,"The Committee on Appropriations, to which was referred the bill (H.R. 3755) making appropriations for the Departments of Labor, Health and Human Services, and Education and related agencies for the fiscal year ending September 30, 1997, and for other purposes, reports the same to the Senate with amendments and recommends that the bill as amended do pass."
